Hourly data from Truax field, Jan 01 2019 to Dec 31 2019
Dewpoint measured in degrees C
Accumulated liquid precipitation measured in mm
dewpoint_degc,liqprec_mm
-1.1,
-1.7,0.3
-2.2,0.5
-2.2,0.5
-2.2,-0.1
-2.2,-0.1
-2.8,0.3
-3.9,-0.1
-5.6,0.0
-6.7,0.0
-7.2,0.0
-7.8,0.0
-8.3,0.0
-8.3,0.0
-8.9,0.0
-9.4,0.0
-10.0,0.0
-10.6,0.0
-10.6,0.0
-11.1,-0.1
-11.1,0.0
-11.7,0.0
-11.1,0.0
-11.1,0.0
-10.6,0.0
-10.6,0.0
-10.6,0.0
-10.6,0.0
-10.6,0.0
-10.0,0.0
-10.0,0.0
-9.4,0.0
-8.9,0.0
-8.3,0.0
-8.9,0.0
-8.3,-0.1
-8.3,0.0
-7.2,-0.1
-6.1,-0.1
-5.6,0.3
-6.1,0.3
-6.1,-0.1
-7.2,-0.1
-7.2,0.3
-7.2,-0.1
-7.8,-0.1
-7.8,0.0
-7.8,0.0
-8.3,0.0
-8.3,0.0
-8.3,0.0
-7.8,0.0
-7.2,0.0
-7.8,0.0
-7.8,0.0
-8.3,0.0
-8.3,0.0
-8.3,0.0
-8.3,0.0
-8.3,0.0
-8.3,0.0
-8.3,0.0
-7.8,0.0
-7.2,0.0
-6.7,0.0
-6.1,0.0
-5.6,0.0
-4.4,0.0
-3.9,0.0
-3.9,0.0
-3.3,0.0
-2.8,0.0
-2.2,0.0
-2.2,0.0
-2.2,0.0
-2.2,0.0
-2.2,0.0
-2.2,0.0
-2.2,0.0
-2.8,0.0
-2.2,0.0
-2.8,0.0
-2.8,0.0
-3.3,0.0
-3.3,0.0
-3.3,0.0
-3.9,0.0
-3.3,0.0
-3.3,0.0
-2.2,0.0
-2.2,0.0
-2.2,0.0
-1.7,0.0
-1.1,0.0
-1.7,0.0
-1.7,0.0
-2.2,0.0
-2.2,0.0
-3.3,0.0
-3.9,0.0
-4.4,0.0
-3.9,0.0
-5.0,0.0
-5.0,0.0
-5.0,0.0
-5.0,0.0
-3.9,0.0
-5.6,0.0
-2.2,0.0
-2.8,0.0
-2.2,0.0
-1.1,0.0
0.0,0.0
-0.6,0.0
-0.6,0.0
-0.6,0.0
-0.6,0.0
-1.1,0.0
-0.6,0.0
-1.1,0.0
-1.7,0.0
-1.7,0.0
-1.7,0.0
-2.8,0.0
-1.1,0.0
-1.7,0.0
-2.8,0.0
-2.8,0.0
-2.8,0.0
-2.8,0.0
-3.9,0.0
-5.0,0.0
-5.6,0.0
-5.0,0.0
-4.4,0.0
-2.8,0.0
-2.2,0.0
-2.8,0.0
-2.2,0.0
-1.7,0.0
-1.1,0.0
-1.7,0.0
-1.7,0.0
-2.8,0.0
-2.8,0.0
-2.8,0.0
-3.3,-0.1
-2.2,-0.1
-1.7,0.0
-1.1,-0.1
-0.6,-0.1
0.6,1.8
1.1,2.3
1.1,1.8
1.1,1.5
2.2,2.0
2.8,1.8
3.9,1.8
4.4,1.3
5.0,4.6
5.6,2.0
