"Daily temperatures (mean, min, max) for Richmond, VA. Jan 1, 1939 - Feb 20, 2024",,,
Datasource: NCDC Daily Data,,,
"Station: USW00013740, Richmond Airport",,,
,,,
YEARMONTHDAY,TAVG,TMAX,TMIN
19390301,,60,42
19390302,,42,28
19390303,,49,24
19390304,,49,30
19390305,,79,48
19390306,,66,46
19390307,,59,34
19390308,,51,32
19390309,,75,35
19390310,,55,35
19390311,,43,36
19390312,,43,35
19390313,,62,32
19390314,,63,30
19390315,,68,42
19390316,,54,31
19390317,,52,25
19390318,,47,27
19390319,,45,25
19390320,,55,32
19390321,,53,31
19390322,,58,29
19390323,,61,27
19390324,,84,36
19390325,,86,57
19390326,,85,55
19390327,,78,61
19390328,,61,40
19390329,,57,36
19390330,,64,43
19390331,,59,40
19390401,,65,41
19390402,,65,42
19390403,,64,43
19390404,,58,32
19390405,,61,26
19390406,,65,45
19390407,,59,40
19390408,,46,36
19390409,,61,32
19390410,,82,49
19390411,,82,51
19390412,,62,36
19390413,,57,30
19390414,,70,30
19390415,,83,55
19390416,,56,44
19390417,,50,44
19390418,,79,48
19390419,,73,50
19390420,,69,47
19390421,,75,44
19390422,,70,45
19390423,,78,40
19390424,,87,48
19390425,,89,55
19390426,,82,65
19390427,,83,60
19390428,,64,46
19390429,,49,42
19390430,,72,39
19390501,,62,39
19390502,,54,43
19390503,,60,43
19390504,,71,39
19390505,,82,40
19390506,,88,45
19390507,,89,56
19390508,,78,64
19390509,,84,65
19390510,,82,61
19390511,,91,52
19390512,,71,53
19390513,,55,45
19390514,,61,40
19390515,,68,38
19390516,,68,40
19390517,,79,41
19390518,,89,55
19390519,,87,60
19390520,,85,58
19390521,,90,59
19390522,,87,64
19390523,,90,64
19390524,,81,58
19390525,,79,57
19390526,,85,61
19390527,,87,66
19390528,,91,70
19390529,,88,69
19390530,,90,69
19390531,,95,66
19390601,,93,70
19390602,,71,64
19390603,,72,63
19390604,,84,64
19390605,,85,63
19390606,,95,60
19390607,,81,60
19390608,,94,61
19390609,,91,68
19390610,,93,70
19390611,,92,70
19390612,,91,69
19390613,,88,67
19390614,,84,66
19390615,,88,66
19390616,,93,72
19390617,,95,75
19390618,,80,62
19390619,,82,61
19390620,,93,69
19390621,,90,70
19390622,,93,68
19390623,,91,70
19390624,,86,61
19390625,,91,58
19390626,,88,56
19390627,,82,57
19390628,,82,66
19390629,,89,69
19390630,,89,68
19390701,,89,66
19390702,,89,64
19390703,,88,62
19390704,,86,69
19390705,,78,68
19390706,,88,68
19390707,,91,69
19390708,,91,71
19390709,,90,72
19390710,,90,68
19390711,,81,60
19390712,,88,60
19390713,,91,67
19390714,,92,68
19390715,,85,62
19390716,,83,58
19390717,,85,60
19390718,,84,65
19390719,,80,64
19390720,,74,65
19390721,,65,60
19390722,,70,63
19390723,,83,61
19390724,,93,68
19390725,,87,67
19390726,,89,67
19390727,,88,69
19390728,,90,68
19390729,,89,70
19390730,,90,70
19390731,,90,69
19390801,,91,66
19390802,,94,68
19390803,,91,69
19390804,,85,68
19390805,,87,66
19390806,,83,67
19390807,,88,62
19390808,,92,69
19390809,,94,72
19390810,,89,66
19390811,,91,64
19390812,,89,65
19390813,,92,70
19390814,,87,69
19390815,,89,70
19390816,,91,68
19390817,,89,64
19390818,,82,72
19390819,,92,72
19390820,,94,70
19390821,,92,70
19390822,,88,70
19390823,,87,70
19390824,,91,66
19390825,,81,69
19390826,,79,69
19390827,,78,68
19390828,,72,63
19390829,,69,62
19390830,,83,61
19390831,,84,62
19390901,,86,61
19390902,,84,64
19390903,,86,65
19390904,,91,67
19390905,,85,60
19390906,,80,56
19390907,,90,58
19390908,,97,74
19390909,,88,71
19390910,,94,67
19390911,,78,55
19390912,,81,53
19390913,,78,60
19390914,,79,56
19390915,,86,54
19390916,,89,60
19390917,,93,62
19390918,,72,52
19390919,,77,53
19390920,,81,60
19390921,,78,58
19390922,,76,52
19390923,,82,49
19390924,,77,54
19390925,,86,58
19390926,,89,60
19390927,,79,63
19390928,,72,62
19390929,,81,68
19390930,,89,68
19391001,,70,54
19391002,,54,48
19391003,,54,47
19391004,,59,45
19391005,,73,44
19391006,,84,54
19391007,,88,58
19391008,,88,57
19391009,,92,64
19391010,,92,63
19391011,,81,62
19391012,,62,53
19391013,,70,47
19391014,,64,41
19391015,,56,32
19391016,,66,32
19391017,,74,35
19391018,,58,35
19391019,,78,38
19391020,,82,49
19391021,,82,48
19391022,,80,47
19391023,,70,38
19391024,,68,42
19391025,,71,46
19391026,,83,57
19391027,,84,64
19391028,,76,40
19391029,,57,31
19391030,,51,37
19391031,,51,40
19391101,,60,34
19391102,,60,32
19391103,,52,34
19391104,,45,34
19391105,,42,37
19391106,,54,29
19391107,,61,28
19391108,,64,35
19391109,,58,28
19391110,,67,30
19391111,,66,36
19391112,,52,36
19391113,,56,35
19391114,,63,33
19391115,,66,29
19391116,,75,29
19391117,,73,44
19391118,,74,37
19391119,,66,50
19391120,,50,36
19391121,,39,34
19391122,,40,36
19391123,,47,33
19391124,,44,30
19391125,,42,35
19391126,,44,28
19391127,,57,28
19391128,,62,28
19391129,,62,24
19391130,,57,31
19391201,,53,30
19391202,,61,46
19391203,,53,35
19391204,,50,29
19391205,,49,31
19391206,,55,30
19391207,,63,28
19391208,,56,26
19391209,,61,23
19391210,,69,29
19391211,,51,33
19391212,,47,27
19391213,,55,30
19391214,,45,31
19391215,,42,28
19391216,,51,31
19391217,,66,39
19391218,,67,36
19391219,,69,39
19391220,,57,32
19391221,,48,28
19391222,,48,28
19391223,,46,21
19391224,,34,15
19391225,,47,15
19391226,,47,20
19391227,,34,25
19391228,,34,25
19391229,,35,27
19391230,,39,26
19391231,,44,23
19400101,,33,19
19400102,,32,15
19400103,,34,11
19400104,,29,14
19400105,,44,24
19400106,,35,18
19400107,,30,15
19400108,,34,22
19400109,,30,1
19400110,,37,0
19400111,,40,22
19400112,,42,32
19400113,,38,33
19400114,,60,34
19400115,,45,29
19400116,,38,25
19400117,,51,21
19400118,,37,20
19400119,,26,6
19400120,,29,3
19400121,,38,16
19400122,,46,22
19400123,,28,22
19400124,,36,10
19400125,,26,-6
19400126,,26,-11
19400127,,25,-6
19400128,,31,-7
19400129,,33,-12
19400130,,36,-3
19400131,,38,5
19400201,,46,3
19400202,,41,17
19400203,,43,10
19400204,,42,8
19400205,,55,26
19400206,,55,27
19400207,,51,30
19400208,,50,24
19400209,,64,33
19400210,,48,40
19400211,,56,41
19400212,,68,32
19400213,,63,40
19400214,,51,29
19400215,,47,28
19400216,,50,19
19400217,,46,27
19400218,,50,31
19400219,,50,39
19400220,,40,36
19400221,,42,28
19400222,,43,24
19400223,,48,22
19400224,,53,32
19400225,,44,26
19400226,,37,21
19400227,,46,25
19400228,,51,37
19400229,,46,34
19400301,,58,31
19400302,,42,38
19400303,,46,39
19400304,,62,39
19400305,,54,34
19400306,,48,26
19400307,,52,27
19400308,,51,27
19400309,,49,29
19400310,,55,29
19400311,,48,25
19400312,,42,25
19400313,,40,32
19400314,,41,32
19400315,,43,24
19400316,,64,23
19400317,,68,26
19400318,,78,37
19400319,,66,38
19400320,,67,35
19400321,,52,31
19400322,,61,27
19400323,,46,21
19400324,,33,18
19400325,,38,23
19400326,,50,15
19400327,,68,32
19400328,,77,45
19400329,,74,45
19400330,,70,49
19400331,,75,46
19400401,,65,39
19400402,,62,35
19400403,,71,43
19400404,,82,47
19400405,,58,37
19400406,,63,34
19400407,,69,34
19400408,,70,52
19400409,,60,40
19400410,,65,31
19400411,,72,44
19400412,,68,30
19400413,,44,27
19400414,,52,30
19400415,,57,38
19400416,,82,43
19400417,,73,49
19400418,,79,51
19400419,,70,55
19400420,,64,44
19400421,,48,42
19400422,,63,37
19400423,,59,31
19400424,,52,37
19400425,,67,33
19400426,,57,45
19400427,,62,39
19400428,,66,38
19400429,,75,35
19400430,,82,47
19400501,,77,54
19400502,,72,51
19400503,,57,46
19400504,,55,45
19400505,,73,43
19400506,,89,43
19400507,,94,63
19400508,,88,58
19400509,,70,53
19400510,,70,43
19400511,,66,39
19400512,,69,41
19400513,,83,49
19400514,,92,55
19400515,,87,58
19400516,,69,57
19400517,,74,48
19400518,,85,52
19400519,,87,59
19400520,,85,60
19400521,,82,59
19400522,,77,61
19400523,,73,61
19400524,,64,56
19400525,,75,57
19400526,,82,60
19400527,,80,58
19400528,,80,55
19400529,,80,54
19400530,,62,55
19400531,,80,58
19400601,,83,61
19400602,,80,60
19400603,,89,58
19400604,,87,62
19400605,,90,67
19400606,,96,66
19400607,,92,68
19400608,,88,64
19400609,,91,67
19400610,,87,67
19400611,,83,70
19400612,,92,69
19400613,,92,69
19400614,,90,69
19400615,,93,69
19400616,,86,70
19400617,,78,66
19400618,,83,61
19400619,,92,70
19400620,,77,57
19400621,,75,51
19400622,,76,52
19400623,,86,59
19400624,,93,70
19400625,,78,62
19400626,,81,59
19400627,,78,58
19400628,,90,67
19400629,,89,63
19400630,,81,54
19400701,,80,58
19400702,,77,57
19400703,,73,61
19400704,,70,56
19400705,,80,54
19400706,,81,56
19400707,,80,55
19400708,,86,56
19400709,,87,67
19400710,,92,65
19400711,,94,68
19400712,,89,64
19400713,,71,55
19400714,,77,54
19400715,,83,51
19400716,,89,66
19400717,,83,67
19400718,,88,67
19400719,,93,67
19400720,,96,71
19400721,,97,70
19400722,,97,72
19400723,,94,71
19400724,,91,70
19400725,,94,68
19400726,,100,72
19400727,,101,72
19400728,,100,72
19400729,,87,69
19400730,,94,68
19400731,,96,73
19400801,,84,64
19400802,,79,61
19400803,,79,59
19400804,,85,61
19400805,,85,70
19400806,,92,70
19400807,,84,70
19400808,,84,62
19400809,,83,61
19400810,,80,61
19400811,,86,70
19400812,,87,70
19400813,,87,72
19400814,,77,70
19400815,,76,70
19400816,,77,72
19400817,,84,73
19400818,,87,73
19400819,,89,66
19400820,,78,57
19400821,,78,55
19400822,,80,58
19400823,,87,61
19400824,,79,61
19400825,,72,59
19400826,,82,60
19400827,,71,66
19400828,,82,68
19400829,,74,66
19400830,,87,69
19400831,,88,70
19400901,,86,65
19400902,,86,60
19400903,,85,62
19400904,,86,61
19400905,,85,60
19400906,,79,57
19400907,,79,55
19400908,,79,55
19400909,,84,62
19400910,,87,64
19400911,,66,48
19400912,,69,44
19400913,,73,46
19400914,,75,47
