year,tmn.mean,Date,Date2
1950,13.61233286,Jan-50,1/1/1950
1951,14.01615218,Jan-51,1/1/1951
1952,14.35259916,Jan-52,1/1/1952
1953,13.77121112,Jan-53,1/1/1953
1954,13.11619685,Jan-54,1/1/1954
1955,14.11156549,Jan-55,1/1/1955
1956,12.68680839,Jan-56,1/1/1956
1957,13.5488019,Jan-57,1/1/1957
1958,13.12482213,Jan-58,1/1/1958
1959,12.97140861,Jan-59,1/1/1959
1960,14.13491876,Jan-60,1/1/1960
1961,12.87847021,Jan-61,1/1/1961
1962,12.99086324,Jan-62,1/1/1962
1963,13.13693389,Jan-63,1/1/1963
1964,12.27737478,Jan-64,1/1/1964
1965,13.34611463,Jan-65,1/1/1965
1966,13.33376385,Jan-66,1/1/1966
1967,12.8058223,Jan-67,1/1/1967
1968,12.89734259,Jan-68,1/1/1968
1969,13.55747928,Jan-69,1/1/1969
1970,13.83865813,Jan-70,1/1/1970
1971,13.89449011,Jan-71,1/1/1971
1972,13.09569554,Jan-72,1/1/1972
1973,14.22610645,Jan-73,1/1/1973
1974,13.58229448,Jan-74,1/1/1974
1975,14.05842304,Jan-75,1/1/1975
1976,14.73598234,Jan-76,1/1/1976
1977,13.10760122,Jan-77,1/1/1977
1978,13.78441612,Jan-78,1/1/1978
1979,13.60751652,Jan-79,1/1/1979
1980,13.54700627,Jan-80,1/1/1980
1981,13.64252367,Jan-81,1/1/1981
1982,13.41510072,Jan-82,1/1/1982
1983,14.41101748,Jan-83,1/1/1983
1984,14.3359733,Jan-84,1/1/1984
1985,13.350325,Jan-85,1/1/1985
1986,13.01381498,Jan-86,1/1/1986
1987,13.43644857,Jan-87,1/1/1987
1988,13.87519124,Jan-88,1/1/1988
1989,13.86875336,Jan-89,1/1/1989
1990,14.14716947,Jan-90,1/1/1990
1991,14.39007862,Jan-91,1/1/1991
1992,13.25637261,Jan-92,1/1/1992
1993,13.61541725,Jan-93,1/1/1993
1994,14.53262078,Jan-94,1/1/1994
1995,14.56016658,Jan-95,1/1/1995
1996,13.33652496,Jan-96,1/1/1996
1997,13.93363788,Jan-97,1/1/1997
1998,13.89709876,Jan-98,1/1/1998
1999,14.86269751,Jan-99,1/1/1999
2000,13.97143017,Jan-00,1/1/2000
2001,14.17765218,Jan-01,1/1/2001
2002,14.05685853,Jan-02,1/1/2002
2003,13.64061071,Jan-03,1/1/2003
2004,12.59918599,Jan-04,1/1/2004
2005,13.37931558,Jan-05,1/1/2005
2006,14.39554727,Jan-06,1/1/2006
2007,13.61827218,Jan-07,1/1/2007
2008,14.18348648,Jan-08,1/1/2008
2009,14.04842296,Jan-09,1/1/2009
2010,15.34322893,Jan-10,1/1/2010
2011,14.65991717,Jan-11,1/1/2011
2012,15.22727784,Jan-12,1/1/2012
2013,14.90503966,Jan-13,1/1/2013
2014,14.59007443,Jan-14,1/1/2014
2015,14.03132426,Jan-15,1/1/2015
2016,15.1169861,Jan-16,1/1/2016
2017,14.23545741,Jan-17,1/1/2017
2018,15.10783729,Jan-18,1/1/2018
2019,14.66437739,Jan-19,1/1/2019
2020,15.55414532,Jan-20,1/1/2020
2021,15.81375474,Jan-21,1/1/2021
