year,tmn.mean,Date,Date2
1950,1.259793065,Jan-50,1/1/1950
1951,3.7348895,Jan-51,1/1/1951
1952,2.733972641,Jan-52,1/1/1952
1953,3.420338022,Jan-53,1/1/1953
1954,2.090079522,Jan-54,1/1/1954
1955,2.167835239,Jan-55,1/1/1955
1956,0.530270772,Jan-56,1/1/1956
1957,2.574615696,Jan-57,1/1/1957
1958,3.360675141,Jan-58,1/1/1958
1959,2.072883022,Jan-59,1/1/1959
1960,2.228688674,Jan-60,1/1/1960
1961,1.28659613,Jan-61,1/1/1961
1962,2.285246837,Jan-62,1/1/1962
1963,1.755338141,Jan-63,1/1/1963
1964,1.653319337,Jan-64,1/1/1964
1965,1.450909261,Jan-65,1/1/1965
1966,1.848248,Jan-66,1/1/1966
1967,-0.007181174,Jan-67,1/1/1967
1968,2.591317783,Jan-68,1/1/1968
1969,2.158952652,Jan-69,1/1/1969
1970,2.12543387,Jan-70,1/1/1970
1971,2.183027457,Jan-71,1/1/1971
1972,1.008193228,Jan-72,1/1/1972
1973,3.204470163,Jan-73,1/1/1973
1974,2.052854837,Jan-74,1/1/1974
1975,2.050920717,Jan-75,1/1/1975
1976,3.276506587,Jan-76,1/1/1976
1977,3.302563902,Jan-77,1/1/1977
1978,1.719443587,Jan-78,1/1/1978
1979,3.681436228,Jan-79,1/1/1979
1980,2.556632989,Jan-80,1/1/1980
1981,3.194075174,Jan-81,1/1/1981
1982,2.312528174,Jan-82,1/1/1982
1983,3.50022013,Jan-83,1/1/1983
1984,1.714597457,Jan-84,1/1/1984
1985,2.245706511,Jan-85,1/1/1985
1986,2.956464,Jan-86,1/1/1986
1987,2.689841196,Jan-87,1/1/1987
1988,2.62110813,Jan-88,1/1/1988
1989,2.110126522,Jan-89,1/1/1989
1990,2.533109967,Jan-90,1/1/1990
1991,3.842769902,Jan-91,1/1/1991
1992,0.939133272,Jan-92,1/1/1992
1993,2.089882174,Jan-93,1/1/1993
1994,2.836879587,Jan-94,1/1/1994
1995,1.906751457,Jan-95,1/1/1995
1996,2.093768543,Jan-96,1/1/1996
1997,1.223051707,Jan-97,1/1/1997
1998,3.757942707,Jan-98,1/1/1998
1999,3.552993141,Jan-99,1/1/1999
2000,3.666601196,Jan-00,1/1/2000
2001,2.258369304,Jan-01,1/1/2001
2002,2.695990152,Jan-02,1/1/2002
2003,0.966810152,Jan-03,1/1/2003
2004,2.294321467,Jan-04,1/1/2004
2005,2.036920826,Jan-05,1/1/2005
2006,3.478857207,Jan-06,1/1/2006
2007,1.806696304,Jan-07,1/1/2007
2008,2.367524163,Jan-08,1/1/2008
2009,2.730133228,Jan-09,1/1/2009
2010,4.845542848,Jan-10,1/1/2010
2011,2.999257489,Jan-11,1/1/2011
2012,4.579729717,Jan-12,1/1/2012
2013,3.249843489,Jan-13,1/1/2013
2014,1.235613935,Jan-14,1/1/2014
2015,1.393612837,Jan-15,1/1/2015
2016,2.997434174,Jan-16,1/1/2016
2017,2.027020217,Jan-17,1/1/2017
2018,2.860069152,Jan-18,1/1/2018
2019,2.109262022,Jan-19,1/1/2019
2020,3.045122891,Jan-20,1/1/2020
2021,3.597559261,Jan-21,1/1/2021
