year,tmn.mean,Date,Date2
1950,8.12984589,Jan-50,1/1/1950
1951,7.896555495,Jan-51,1/1/1951
1952,8.015056978,Jan-52,1/1/1952
1953,8.803575835,Jan-53,1/1/1953
1954,7.715713044,Jan-54,1/1/1954
1955,7.466034231,Jan-55,1/1/1955
1956,7.185073835,Jan-56,1/1/1956
1957,8.439020099,Jan-57,1/1/1957
1958,7.169640132,Jan-58,1/1/1958
1959,7.453473165,Jan-59,1/1/1959
1960,8.12378822,Jan-60,1/1/1960
1961,8.824509319,Jan-61,1/1/1961
1962,6.911265967,Jan-62,1/1/1962
1963,7.523765582,Jan-63,1/1/1963
1964,6.63022167,Jan-64,1/1/1964
1965,6.177483714,Jan-65,1/1/1965
1966,7.83921078,Jan-66,1/1/1966
1967,7.289807791,Jan-67,1/1/1967
1968,7.534091242,Jan-68,1/1/1968
1969,8.025731264,Jan-69,1/1/1969
1970,7.991091231,Jan-70,1/1/1970
1971,8.090882264,Jan-71,1/1/1971
1972,6.326647637,Jan-72,1/1/1972
1973,7.847457242,Jan-73,1/1/1973
1974,7.065606,Jan-74,1/1/1974
1975,8.599586747,Jan-75,1/1/1975
1976,7.427207527,Jan-76,1/1/1976
1977,8.096908429,Jan-77,1/1/1977
1978,6.618652495,Jan-78,1/1/1978
1979,8.398910703,Jan-79,1/1/1979
1980,6.971862582,Jan-80,1/1/1980
1981,7.380863429,Jan-81,1/1/1981
1982,8.372150187,Jan-82,1/1/1982
1983,8.514538703,Jan-83,1/1/1983
1984,7.848747055,Jan-84,1/1/1984
1985,7.919596088,Jan-85,1/1/1985
1986,6.503218967,Jan-86,1/1/1986
1987,7.293755308,Jan-87,1/1/1987
1988,7.661120242,Jan-88,1/1/1988
1989,7.419123352,Jan-89,1/1/1989
1990,8.348308725,Jan-90,1/1/1990
1991,8.184657648,Jan-91,1/1/1991
1992,7.000075505,Jan-92,1/1/1992
1993,7.329196165,Jan-93,1/1/1993
1994,8.357504835,Jan-94,1/1/1994
1995,7.940427868,Jan-95,1/1/1995
1996,6.958755176,Jan-96,1/1/1996
1997,7.05216089,Jan-97,1/1/1997
1998,7.696190527,Jan-98,1/1/1998
1999,8.885678747,Jan-99,1/1/1999
2000,7.936767593,Jan-00,1/1/2000
2001,8.912367758,Jan-01,1/1/2001
2002,7.384462637,Jan-02,1/1/2002
2003,8.295404615,Jan-03,1/1/2003
2004,7.61143122,Jan-04,1/1/2004
2005,8.887500747,Jan-05,1/1/2005
2006,8.983312143,Jan-06,1/1/2006
2007,8.338872835,Jan-07,1/1/2007
2008,8.147966033,Jan-08,1/1/2008
2009,8.190556549,Jan-09,1/1/2009
2010,8.755002659,Jan-10,1/1/2010
2011,9.776969055,Jan-11,1/1/2011
2012,8.866344758,Jan-12,1/1/2012
2013,8.128353527,Jan-13,1/1/2013
2014,8.660751692,Jan-14,1/1/2014
2015,8.932573198,Jan-15,1/1/2015
2016,9.316755637,Jan-16,1/1/2016
2017,9.735489901,Jan-17,1/1/2017
2018,7.503607703,Jan-18,1/1/2018
2019,8.073002769,Jan-19,1/1/2019
2020,9.133910297,Jan-20,1/1/2020
2021,10.01420662,Jan-21,1/1/2021
