fd_unq_id,source_reporting_unit_name,fire_name,year,month,month_num,cause,fire_size,fire_size_class,state,county
1338131,Mendocino Unit,VANN                     ,1992,February,2,Equipment Use,120,D,CA,
216388,Yuma Field Office,WALTERS,1992,March,3,Debris Burning,1800,F,CA,
218766,California Desert District,MESA,1992,April,4,Equipment Use,4200,F,CA,
1373316,CDF - San Bernardino Unit,COLLINS                  ,1992,April,4,Arson,125,D,CA,
1373321,CDF - San Bernardino Unit,COVINGTON                ,1992,April,4,Arson,104,D,CA,
1386445,CDF - Riverside Unit,LOCAL 11879              ,1992,April,4,Campfire,125,D,CA,
369040,Imperial National Wildlife Refuge,WHITEROCK,1992,April,4,Miscellaneous,2400,F,CA,
216578,Bakersfield District,SEBASTIAN,1992,May,5,Debris Burning,310,E,CA,
216580,Bakersfield District,TEJON 2,1992,May,5,Lightning,1000,F,CA,
216588,Bakersfield District,COTTONWOOD,1992,May,5,Equipment Use,125,D,CA,
216590,Bakersfield District,HUNTER,1992,May,5,Equipment Use,1350,F,CA,
216592,Bakersfield District,PANOCHE,1992,May,5,Equipment Use,565,E,CA,
1370273,Tehama-Glenn Unit,HUFFMAN                  ,1992,May,5,Equipment Use,200,D,CA,
1322330,Tuolumne-Calaveras Unit,HWY 26#1                 ,1992,May,5,Equipment Use,250,D,CA,
1322334,Tuolumne-Calaveras Unit,SPARKS                   ,1992,May,5,Miscellaneous,300,E,CA,
218769,California Desert District,RANCHO,1992,May,5,Lightning,105,D,CA,
1315310,CDF - Merced-Mariposa Unit,LUIS                     ,1992,May,5,Equipment Use,560,E,CA,
1315330,CDF - Merced-Mariposa Unit,MCNAMARA                 ,1992,May,5,Debris Burning,500,E,CA,
1315436,CDF - Merced-Mariposa Unit,STEFFAN                  ,1992,May,5,Equipment Use,138,D,CA,
1315460,CDF - Merced-Mariposa Unit,BUCHANAN                 ,1992,May,5,Equipment Use,160,D,CA,
247414,Lava Beds National Monument,HOVEY PT.,1992,May,5,Debris Burning,107.6,D,CA,
1386466,CDF - Riverside Unit,LOCAL                    ,1992,May,5,Equipment Use,112,D,CA,
1377252,CDF - Monte Vista Unit,WILLOW                   ,1992,May,5,Miscellaneous,245,D,CA,
1357000,Sonoma-Lake Napa Unit,ROMINGER                 ,1992,May,5,Equipment Use,200,D,CA,
47998,Los Padres National Forest,PINAL,1992,May,5,Miscellaneous,300,E,CA,
1357108,Sonoma-Lake Napa Unit,PARK                     ,1992,May,5,Arson,120,D,CA,
1367962,Siskiyou Unit,MACKS                    ,1992,May,5,Equipment Use,150,D,CA,
48894,San Bernardino National Forest,CACTUS,1992,May,5,Miscellaneous,1150,F,CA,
48994,Sequoia National Forest,CALLBOX,1992,May,5,Campfire,1195,F,CA,
1369070,Tehama-Glenn Unit,SAN HEDRIN               ,1992,May,5,Lightning,125,D,CA,
216600,Bakersfield District,JOLON,1992,June,6,Arson,1625,F,CA,
216602,Bakersfield District,SHELL,1992,June,6,Miscellaneous,160,D,CA,
216606,Bakersfield District,HART,1992,June,6,Arson,400,E,CA,
1370317,Tehama-Glenn Unit,DALE FAMILY              ,1992,June,6,Equipment Use,203,D,CA,
1302718,CDF - San Benito-Monterey Unit,METZ # 2                 ,1992,June,6,Debris Burning,153,D,CA,
1302729,CDF - San Benito-Monterey Unit,PORTER #5                ,1992,June,6,Equipment Use,1305,F,CA,
1322416,Tuolumne-Calaveras Unit,PGE 10                   ,1992,June,6,Equipment Use,200,D,CA,
1322525,Tuolumne-Calaveras Unit,PG&E #11                 ,1992,June,6,Equipment Use,675,E,CA,
218801,California Desert District,PAINTED,1992,June,6,Powerline,500,E,CA,
218811,California Desert District,RIMROCK,1992,June,6,Children,150,D,CA,
1351233,Butte Unit,HONCUT                   ,1992,June,6,Arson,800,E,CA,
1341896,Santa Clara Unit,DEER VALLEY # 2          ,1992,June,6,Equipment Use,120,D,CA,
1341903,Santa Clara Unit,FLOWIND                  ,1992,June,6,Equipment Use,710,E,CA,
1373350,CDF - San Bernardino Unit,CRAFTON                  ,1992,June,6,Miscellaneous,125,D,CA,
1353309,Butte Unit,DRY                      ,1992,June,6,Miscellaneous,800,E,CA,
1353334,Butte Unit,SKYWAY                   ,1992,June,6,Miscellaneous,110,D,CA,
1364363,Shasta-Trinity Unit,CLOVER                   ,1992,June,6,Arson,310,E,CA,
1315504,CDF - Merced-Mariposa Unit,LONETREE                 ,1992,June,6,Miscellaneous,200,D,CA,
1315536,CDF - Merced-Mariposa Unit,RIVER                    ,1992,June,6,Miscellaneous,160,D,CA,
1315550,CDF - Merced-Mariposa Unit,GONZAGA                  ,1992,June,6,Miscellaneous,125,D,CA,
1315604,CDF - Merced-Mariposa Unit,URRUTIA                  ,1992,June,6,Arson,150,D,CA,
1315605,CDF - Merced-Mariposa Unit,GUNNER                   ,1992,June,6,Equipment Use,250,D,CA,
1315643,CDF - Merced-Mariposa Unit,PASCOAL                  ,1992,June,6,Debris Burning,135,D,CA,
1315645,CDF - Merced-Mariposa Unit,LAKE                     ,1992,June,6,Children,130,D,CA,
1315696,CDF - Merced-Mariposa Unit,COLEMAN                  ,1992,June,6,Debris Burning,380,E,CA,
247736,Sequoia & Kings Canyon National Park,ELLIS MDW,1992,June,6,Lightning,123,D,CA,
1386638,CDF - Riverside Unit,STATE                    ,1992,June,6,Miscellaneous,560,E,CA,
1306930,CDF - Fresno-Kings Unit,SYCAMORE  109-112        ,1992,June,6,Arson,150,D,CA,
1386693,CDF - Riverside Unit,STATE                    ,1992,June,6,Miscellaneous,168,D,CA,
1386727,CDF - Riverside Unit,COVEY                    ,1992,June,6,Miscellaneous,213,D,CA,
47156,Cleveland National Forest,YSABEL,1992,June,6,Miscellaneous,650,E,CA,
248516,Whiskeytown National Recreation Area,CLOVER,1992,June,6,Arson,378,E,CA,
248624,Yosemite National Park,DOME,1992,June,6,Lightning,200,D,CA,
47450,Inyo National Forest,ABERDEEN,1992,June,6,Lightning,2000,F,CA,
47501,Klamath National Forest,GARVEY,1992,June,6,Arson,973,E,CA,
369052,Merced National Wildlifw Refuge,SANDY MUSH,1992,June,6,Arson,215,D,CA,
369055,Pixley National Wildlife Refuge,TURKEYTR,1992,June,6,Arson,1200,F,CA,
47566,Klamath National Forest,,1992,June,6,Lightning,266,D,CA,
1367102,Siskiyou Unit,LIGHTNING #37            ,1992,June,6,Lightning,107,D,CA,
1326980,Tulare Unit,PACHECO                  ,1992,June,6,Smoking,1000,F,CA,
47902,Lassen National Forest,DAY,1992,June,6,Equipment Use,500,E,CA,
48002,Los Padres National Forest,PATTON FIELD,1992,June,6,Miscellaneous,125,D,CA,
48025,Los Padres National Forest,OSO,1992,June,6,Equipment Use,250,D,CA,
48272,Modoc National Forest,TIMBER,1992,June,6,Lightning,1385,F,CA,
48278,Modoc National Forest,CAMP,1992,June,6,Lightning,187,D,CA,
1357488,Sonoma-Lake Napa Unit,PG&E #1                  ,1992,June,6,Equipment Use,150,D,CA,
1357576,Sonoma-Lake Napa Unit,LIGHTNING NO.1           ,1992,June,6,Equipment Use,2150,F,CA,
1357577,Sonoma-Lake Napa Unit,LIGHTNING #2             ,1992,June,6,Lightning,105,D,CA,
48814,San Bernardino National Forest,,1992,June,6,Arson,234,D,CA,
48895,San Bernardino National Forest,,1992,June,6,Miscellaneous,150,D,CA,
48897,San Bernardino National Forest,,1992,June,6,Smoking,188,D,CA,
1369141,Tehama-Glenn Unit,STONYGORGE               ,1992,June,6,Lightning,125,D,CA,
1369142,Tehama-Glenn Unit,BLACK BUTTE              ,1992,June,6,Lightning,280,D,CA,
1369147,Tehama-Glenn Unit,4-5 LIGHTNING            ,1992,June,6,Lightning,300,E,CA,
1348017,Amador-El Dorado Unit,PRAIRIE                  ,1992,June,6,Miscellaneous,250,D,CA,
216641,Bakersfield District,MICHAGAN,1992,July,7,Lightning,238,D,CA,
1370324,Tehama-Glenn Unit,LAWENCE                  ,1992,July,7,Equipment Use,125,D,CA,
1349597,Butte Unit,ESQUON                   ,1992,July,7,Miscellaneous,150,D,CA,
1302734,CDF - San Benito-Monterey Unit,PG&E # 12                ,1992,July,7,Equipment Use,151,D,CA,
1371172,Tehama-Glenn Unit,LATHAM                   ,1992,July,7,Miscellaneous,175,D,CA,
1322461,Tuolumne-Calaveras Unit,COPPER                   ,1992,July,7,Equipment Use,240,D,CA,
1322483,Tuolumne-Calaveras Unit,ORVIS                    ,1992,July,7,Equipment Use,300,E,CA,
218841,California Desert District,GENERAL,1992,July,7,Campfire,115,D,CA,
218856,California Desert District,MANZANITA,1992,July,7,Miscellaneous,821,E,CA,
194189,Northern California Agency,,1992,July,7,Children,800,E,CA,
1341949,Santa Clara Unit,COMSTOCK                 ,1992,July,7,Miscellaneous,102,D,CA,
1341957,Santa Clara Unit,THOMPSON SHAFT           ,1992,July,7,Children,125,D,CA,
1341962,Santa Clara Unit,BIRD                     ,1992,July,7,Miscellaneous,540,E,CA,
1373428,CDF - San Bernardino Unit,CARTER                   ,1992,July,7,Miscellaneous,150,D,CA,
1394188,San Luis Obispo Unit,FAWN                     ,1992,July,7,Equipment Use,660,E,CA,
1394238,San Luis Obispo Unit,RANCH                    ,1992,July,7,Arson,120,D,CA,
1365381,Shasta-Trinity Unit,ASH #2                   ,1992,July,7,Children,280,D,CA,
1315750,CDF - Merced-Mariposa Unit,JORDAN                   ,1992,July,7,Arson,480,E,CA,
1315824,CDF - Merced-Mariposa Unit,SNELLING                 ,1992,July,7,Miscellaneous,2080,F,CA,
1315835,CDF - Merced-Mariposa Unit,URRUTIA                  ,1992,July,7,Smoking,300,E,CA,
1315857,CDF - Merced-Mariposa Unit,LE GRAND                 ,1992,July,7,Miscellaneous,160,D,CA,
1315872,CDF - Merced-Mariposa Unit,SCHOOL                   ,1992,July,7,Miscellaneous,121,D,CA,
247753,Sequoia & Kings Canyon National Park,CHAGOOPA E,1992,July,7,Lightning,562,E,CA,
247754,Sequoia & Kings Canyon National Park,RATTLESNAK,1992,July,7,Lightning,268,D,CA,
1306979,CDF - Fresno-Kings Unit,FKU7395                  ,1992,July,7,Debris Burning,160,D,CA,
1307042,CDF - Fresno-Kings Unit,BOYD                     ,1992,July,7,Equipment Use,400,E,CA,
47056,Angeles National Forest,DEVIL,1992,July,7,Equipment Use,1337,F,CA,
47193,Cleveland National Forest,STAR,1992,July,7,Miscellaneous,430,E,CA,
47195,Cleveland National Forest,LOVELAND,1992,July,7,Campfire,1550,F,CA,
222581,Ukiah District,BROCK,1992,July,7,Powerline,150,D,CA,
1377303,CDF - Monte Vista Unit,EDEN                     ,1992,July,7,Equipment Use,105,D,CA,
1327055,Tulare Unit,KETCHSIDE                ,1992,July,7,Smoking,110,D,CA,
47913,Lassen National Forest,RED ROCK,1992,July,7,Equipment Use,290,D,CA,
1357738,Sonoma-Lake Napa Unit,CEMENT                   ,1992,July,7,Equipment Use,365,E,CA,
1368409,Siskiyou Unit,LAKEVIEW                 ,1992,July,7,Equipment Use,349,E,CA,
1358062,Sonoma-Lake Napa Unit,JENKINS                  ,1992,July,7,Miscellaneous,300,E,CA,
1358064,Sonoma-Lake Napa Unit,MIGUEL                   ,1992,July,7,Equipment Use,275,D,CA,
48864,San Bernardino National Forest,,1992,July,7,Miscellaneous,150,D,CA,
48899,San Bernardino National Forest,BANNING,1992,July,7,Miscellaneous,1200,F,CA,
1369077,Tehama-Glenn Unit,HOG #2                   ,1992,July,7,Lightning,1310,F,CA,
1338215,Mendocino Unit,JAY                      ,1992,July,7,Equipment Use,550,E,CA,
1348104,Amador-El Dorado Unit,MICHIGAN                 ,1992,July,7,Miscellaneous,225,D,CA,
1338347,Mendocino Unit,ORR                      ,1992,August,8,Arson,120,D,CA,
49609,Stanislaus National Forest,GULCH,1992,August,8,Miscellaneous,18000,G,CA,
1369758,Tehama-Glenn Unit,MUDD                     ,1992,August,8,Arson,265,D,CA,
216650,Bakersfield District,MOCCASIN,1992,August,8,Campfire,8000,G,CA,
216651,Bakersfield District,FRICOT,1992,August,8,Equipment Use,425,E,CA,
216660,Bakersfield District,PARROTS,1992,August,8,Smoking,240,D,CA,
216668,Bakersfield District,POWERHOUSE,1992,August,8,Miscellaneous,200,D,CA,
216669,Bakersfield District,SOUTHFORK,1992,August,8,Smoking,225,D,CA,
216671,Bakersfield District,RED HILLS,1992,August,8,Arson,110,D,CA,
216672,Bakersfield District,FARNHAM,1992,August,8,Campfire,900,E,CA,
216674,Bakersfield District,MID0RIDGE,1992,August,8,Equipment Use,7530,G,CA,
1348873,Amador-El Dorado Unit,SCOTT                    ,1992,August,8,Equipment Use,115,D,CA,
1360316,Nevada-Yuba-Placer Unit,LINCOLN                  ,1992,August,8,Equipment Use,1600,F,CA,
1360320,Nevada-Yuba-Placer Unit,SICARD                   ,1992,August,8,Equipment Use,120,D,CA,
1360382,Nevada-Yuba-Placer Unit,CLEAR                    ,1992,August,8,Equipment Use,190,D,CA,
1302866,CDF - San Benito-Monterey Unit,ARROYO SECO              ,1992,August,8,Equipment Use,300,E,CA,
1302869,CDF - San Benito-Monterey Unit,HEARST # 2               ,1992,August,8,Equipment Use,1200,F,CA,
1361029,Nevada-Yuba-Placer Unit,THERMALANDS              ,1992,August,8,Children,110,D,CA,
1322497,Tuolumne-Calaveras Unit,PALOMA                   ,1992,August,8,Arson,150,D,CA,
1322505,Tuolumne-Calaveras Unit,LIGHTNING #16            ,1992,August,8,Lightning,300,E,CA,
1322515,Tuolumne-Calaveras Unit,BARNETT                  ,1992,August,8,Arson,375,E,CA,
1322519,Tuolumne-Calaveras Unit,CHINESE CAMP #2          ,1992,August,8,Arson,120,D,CA,
1322520,Tuolumne-Calaveras Unit,CHINESE CAMP #1          ,1992,August,8,Arson,400,E,CA,
1322568,Tuolumne-Calaveras Unit,PARROTTS                 ,1992,August,8,Equipment Use,183,D,CA,
218904,California Desert District,LEAL,1992,August,8,Campfire,443,E,CA,
218913,California Desert District,PIUTE,1992,August,8,Lightning,680,E,CA,
1362326,Nevada-Yuba-Placer Unit,FAWN                     ,1992,August,8,Equipment Use,350,E,CA,
1352199,Butte Unit,99,1992,August,8,Equipment Use,800,E,CA,
1342057,Santa Clara Unit,EMMONS                   ,1992,August,8,Children,180,D,CA,
1363602,Shasta-Trinity Unit,KESWICK                  ,1992,August,8,Smoking,150,D,CA,
53698,Los Padres National Forest,CACHUMA,1992,August,8,Miscellaneous,710,E,CA,
1394249,San Luis Obispo Unit,CHIMNEY #2               ,1992,August,8,Arson,140,D,CA,
1353384,Butte Unit,HONCUT                   ,1992,August,8,Miscellaneous,350,E,CA,
1333889,Sonoma-Lake Napa Unit,WOODEN                   ,1992,August,8,Campfire,1200,F,CA,
